OBJECTID;ARRDT;BOIS;TYPE_VOIE;NOM_VOIE;STATUT;TYPOLOGIE;SENS_VELO;TYPOLOGIE_SIMPLE;SHAPE.LEN;geo_shape;geo_point_2d
2513;4;NON;QUAI DE L;HOTEL DE VILLE;VOIE 50;CONTINUITE VELO;CONTRESENS;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.357827832676542, 48.853439119315574], [2.3578944571442126, 48.85342099555286]]}";48.8534300574, 2.35786114491
2517;4;NON;QUAI DES;CELESTINS;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;CONTRESENS;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3579607942562744, 48.85340294990942], [2.3584370957781204, 48.85323001335835], [2.3587716819118096, 48.853108546515585], [2.3588557271176085, 48.85307139979997], [2.3589376194132643, 48.85302972094429], [2.3589921279698958, 48.852995509581525]]}";48.8532109723, 2.35848181318
2518;4;NON;QUAI DES;CELESTINS;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3579687750047955, 48.853413700677784], [2.358690893271364, 48.85315391975828], [2.358772884014076, 48.85312276262444], [2.3588533045673885, 48.85308775143359], [2.3589319738863757, 48.85304896500388], [2.359002810146445, 48.85300651271053]]}";48.853222304, 2.35849124021
2525;4;NON;QUAI DES;CELESTINS;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;CONTRESENS;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.359912538057162, 48.8526270863791], [2.359932522198345, 48.85261470067428], [2.359959222448755, 48.85260042147733], [2.359986934686524, 48.85258822185784], [2.360201492806756, 48.85251381877856], [2.3602893077105307, 48.852483354223395], [2.360316459034211, 48.852474576089655], [2.3603564198188285, 48.85246466363237], [2.3603969020337, 48.852457159540435], [2.360490829359698, 48.85244278943929]]}";48.8525199935, 2.36019689574
2528;4;NON;QUAI DES;CELESTINS;VOIE 50;CONTINUITE VELO;SENS CIRCULATION GENERALE;CONTINUITE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3605051567319357, 48.85245059953554], [2.36059015038711, 48.85242963786071]]}";48.8524401187, 2.36054765356
2529;4;NON;QUAI DES;CELESTINS;VOIE 30;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;CONTRESENS;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3605912269626184, 48.85241536634408], [2.3606373208715548, 48.85240547208596], [2.3606823770143923, 48.85239159805347], [2.3607260524734066, 48.852373849840475], [2.3607814167768106, 48.85234321154209], [2.3608976337789884, 48.852275420433365], [2.3611510686123167, 48.85211793920512], [2.36137542433971, 48.851979338588244], [2.3618168971360514, 48.851704060576516], [2.3620739464847547, 48.85154540684798], [2.362312839394997, 48.85139706630417]]}";48.8519239812, 2.36146021574
2539;4;NON;BOULEVARD;MORLAND;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3623773982106244, 48.85101667804371], [2.362374955513787, 48.8510118516169], [2.3623731009891444, 48.85100677009135], [2.3623729364806794, 48.8509938424396], [2.3623746889718062, 48.850981033067335], [2.362378319786621, 48.850968624665875], [2.362383748796307, 48.85095689107747], [2.362403449684697, 48.85092972132601], [2.362426841894369, 48.85090565631148], [2.3625111034882207, 48.85083425893813], [2.362794147296788, 48.85060794747247], [2.36307796319109, 48.85038143559486], [2.3635169326466494, 48.85003146950733], [2.363984721155824, 48.84966040673565]]}";48.8503225384, 2.36315467056
2552;4;NON;BOULEVARD;MORLAND;VOIE 50;PISTE CYCLABLE BIDIRECTIONNELLE SUR TROTTOIR;SENS CIRCULATION GENERALE;PISTE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3650065177764987, 48.848240471722164], [2.3651207265241774, 48.84792836715696], [2.3651422562863598, 48.84787222710414], [2.3651600705851745, 48.847839322317064], [2.365181632999971, 48.84780874231506], [2.3652111739624693, 48.84778018229195], [2.365243286357354, 48.84775454759905], [2.3654192695705634, 48.84763166052947], [2.365557759923028, 48.8475443447832]]}";48.8478477679, 2.36522589045
2557;4;NON;BOULEVARD;HENRI IV;VOIE 50;BANDE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.3590023054297315, 48.85003985561888], [2.3593436058876716, 48.850143376443306]]}";48.850091616, 2.35917295566
2560;4;NON;BOULEVARD;HENRI IV;VOIE 50;BANDE CYCLABLE SUR CHAUSSEE;SENS CIRCULATION GENERALE;BANDE CYCLABLE;0.0;"{""type"": ""LineString"", ""coordinates"": [[2.359794193737151, 48.85028049449586], [2.3600877627770864, 48.85036977092563]]}";48.8503251327, 2.35994097826
