CLE;NATURE;NOM;SITUATION;GEOMETRIE;X_LONG;Y_LAT
16342;Double sens;rue Camille Sauvageau;pair;LINESTRING (-0.562366715550846 44.831937158302, -0.562045196326952 44.8318166986623);-0,562366715550846;44,831937158302
16340;Double sens;rue Camille Sauvageau;pair;LINESTRING (-0.564509287949017 44.833126311301, -0.564178308710556 44.8329697613856);-0,564509287949017;44,833126311301
16341;Double sens;rue Camille Sauvageau;pair;LINESTRING (-0.563225112438992 44.8323769834029, -0.563000024756415 44.8322315268352);-0,563225112438992;44,8323769834029
16390;Double sens;rue Promis;impair;LINESTRING (-0.552560898465596 44.8400712015838, -0.551950915414292 44.8401330306039);-0,552560898465596;44,8400712015838
16354;Double sens;rue François Chambrelent;pair;LINESTRING (-0.550755194054049 44.8753961326934, -0.552139611291616 44.8757718201465, -0.552302470177892 44.8758858239127);-0,550755194054049;44,8753961326934
16355;Double sens;rue François Chambrelent;pair;LINESTRING (-0.550086555758803 44.8752154749322, -0.550755194054049 44.8753961326934);-0,550086555758803;44,8752154749322
16356;Double sens;rue François Chambrelent;pair;LINESTRING (-0.549508539910608 44.8750498240534, -0.550086555758803 44.8752154749322);-0,549508539910608;44,8750498240534
16357;Double sens;rue François Chambrelent;pair;LINESTRING (-0.548818436272049 44.8748804575238, -0.549508539910608 44.8750498240534);-0,548818436272049;44,8748804575238
16358;Couloir bus;avenue d'Arès;pair;LINESTRING (-0.611261396199908 44.8383120485597, -0.612278898719978 44.8383881258023, -0.613586048634865 44.8383486101676, -0.614702053845072 44.8384226191365);-0,611261396199908;44,8383120485597
16361;Bande unilatérale;avenue d'Arès;pair;LINESTRING (-0.608009650225514 44.8374676120157, -0.608886250916705 44.8378857238743, -0.609629807257662 44.8381140122179, -0.609923803044529 44.8381748610402);-0,608009650225514;44,8374676120157
16366;Bande bilatérale;daney;pair et impair;LINESTRING (-0.576019409916932 44.8657333137559, -0.575256563536137 44.8660586813688, -0.575135013688826 44.8661206902813, -0.57488829797825 44.8662232019964, -0.57416843940334 44.8665658586285, -0.573252977506741 44.8669531140228, -0.570369525711377 44.8681669645598, -0.568476783717403 44.8689738778109, -0.568065175911873 44.8691264017789, -0.566930872410705 44.8696016235997, -0.566618999002974 44.8697324610186, -0.566446362956698 44.8698268676822, -0.565988239722342 44.8700364200032, -0.565289404178652 44.8703416963333);-0,576019409916932;44,8657333137559
16395;Double sens;rue Ferbeyre;;LINESTRING (-0.606027913641899 44.8554461870945, -0.605356878739755 44.8562016078222);-0,606027913641899;44,8554461870945
16392;Double sens;rue Jacques Ellul;pair;LINESTRING (-0.562847437034871 44.830316790807, -0.562697193667083 44.8306650605679, -0.562637520329141 44.8307256612569, -0.562539268570464 44.8307581038051, -0.562385158214503 44.8307572541285, -0.561932671929063 44.8307480900481, -0.561673211074304 44.8307631486964);-0,562847437034871;44,830316790807
16394;Double sens;rue Antoine Monier;;LINESTRING (-0.542041387304962 44.8469990159196, -0.541685890833816 44.8467466889944, -0.541663945399643 44.8467048547456, -0.541679318162169 44.8466109646703);-0,542041387304962;44,8469990159196
16406;Piste bidirectionnelle;bx lacanau;pair et impair;LINESTRING (-0.560925998500807 44.8867093740728, -0.561376869315065 44.8867508547591, -0.561648962371039 44.8867310859536, -0.562339518801047 44.8866263447362, -0.56264016986706 44.8865377604481, -0.563320418287749 44.8861908419828, -0.56372029524155 44.8859879020388, -0.563951882056402 44.8859402093798, -0.564190951833488 44.8859499328699, -0.564440826822677 44.8859888637265, -0.565775132170684 44.8863844304458, -0.568107884360356 44.8869139111218, -0.568155425526284 44.8869265641471, -0.568828948700586 44.8870438227565, -0.570298271489813 44.887257740293, -0.571984675459672 44.8874983406418, -0.572683535584581 44.8875437993744, -0.573397765813484 44.8876429095856, -0.574925849631891 44.8877659258154, -0.576206167299218 44.8878800372296, -0.577364552402663 44.8879588697376, -0.578116280901488 44.8880412791674);-0,560925998500807;44,8867093740728
16407;Bande bilatérale;wilson;pair et impair;LINESTRING (-0.598856773451301 44.8366069079159, -0.599059862631503 44.8384573383477, -0.599036214606027 44.8385084419653, -0.599186677694228 44.8402357734461, -0.599279826537862 44.8411733699056, -0.599307656175166 44.8414424644151, -0.599365231342979 44.8419788812609, -0.59942784073622 44.8425674762859, -0.599476981273711 44.8430458770255, -0.599476630936463 44.8432307356547, -0.599448810552724 44.8434015095945, -0.598992648155319 44.8445715038772, -0.598787314850289 44.845060654536, -0.598601032241928 44.8455122688374, -0.598135529065267 44.8466670596336, -0.597522576033354 44.8482470092123, -0.596308675442422 44.8498911655279, -0.595666636402177 44.8507591168634, -0.595484662514657 44.8510207868315, -0.595065497269494 44.8515644266064, -0.593877528171679 44.8531535039025, -0.593829089719902 44.853225566967, -0.593656358602899 44.8534691955792, -0.593406574864606 44.8537789439348);-0,598856773451301;44,8366069079159
16408;Aire piétonne;quai rive gauche;;LINESTRING (-0.558694990574765 44.831888564297, -0.559998213209038 44.832613383957, -0.561401231329145 44.8334529806435, -0.562521338680101 44.8342842141638, -0.563285797831021 44.835005868465, -0.564087799540616 44.8360250474799, -0.565027403441567 44.8369739720139, -0.565504043974612 44.8373582724964, -0.566100270445667 44.8377599923089, -0.567010378551788 44.8384523776393, -0.567710849848157 44.8391345742841, -0.568493107675614 44.8402109153662, -0.568977733327823 44.8409807656961, -0.569604350850045 44.8423336633922, -0.569917664543963 44.8434114633451, -0.570389852690717 44.845066646827, -0.570648517013442 44.8464082931575, -0.570646185178209 44.846701577333, -0.570589419442344 44.8473770679775, -0.570277652716929 44.8484962759404, -0.56980578539553 44.8495782566585, -0.569472956892844 44.8501578214852, -0.56863357542343 44.85123375581, -0.567977519562734 44.8519088452589, -0.567260314658621 44.8526008001676, -0.56548967201285 44.8540447715257, -0.563689840750091 44.8552476719566, -0.561566456543056 44.856417337243, -0.559571586193314 44.8573317096097, -0.553651049590496 44.8600395452567, -0.553657860954146 44.8600329369994);-0,558694990574765;44,831888564297
16409;Bande bilatérale;albert 1er;pair et impair;LINESTRING (-0.5606919073578 44.8128241699785, -0.560700469732934 44.8128255233714, -0.561361255016472 44.8129352712816, -0.563757582991303 44.8133465572347, -0.564659703088051 44.8134950258576, -0.566135556660557 44.8137203553549, -0.567888057378945 44.8140068909234, -0.568070660608544 44.8140373752019, -0.569670363227793 44.8143003016641, -0.570598086877704 44.8144529651329, -0.571131112835489 44.8145466700952, -0.57260690751811 44.8148007449521);-0,5606919073578;44,8128241699785
16410;Bande unilatérale;hemicycle;pair;LINESTRING (-0.575041355052626 44.8461883217149, -0.575228254737416 44.8461475893072, -0.575469286040796 44.8460752492361, -0.575700383710142 44.8459244904338, -0.575875388488148 44.8457554056798, -0.575972439687827 44.8455421984903, -0.575984164001379 44.845290505594, -0.575871598009528 44.8450498344621, -0.575712236062676 44.844873239495, -0.575526533433113 44.8447536821168, -0.575199787293562 44.8446261244017, -0.574919719884652 44.8445916839201, -0.574746502805975 44.844587576547);-0,575041355052626;44,8461883217149
16417;Double sens;rue Chapelle Saint Jean;pair;LINESTRING (-0.569765097987843 44.8378420856689, -0.569643933586994 44.837560062108);-0,569765097987843;44,8378420856689
16418;Double sens;rue des Palanques;impair;LINESTRING (-0.577237100547817 44.8372599010194, -0.577217231736153 44.8370235235376, -0.577199460338404 44.8367801439055, -0.577198043420866 44.8365636346338, -0.577101763216596 44.8361344545868);-0,577237100547817;44,8372599010194
